question_number,word1,choice1,furigana1,word2,choice2,furigana2,word3,choice3,furigana3,word4,choice4,furigana4
1,love,愛する,あいする,hate,憎む,にくむ,book,選ぶ,えらぶ,milk,ミルク,みるく
2,run,走る,はしる,protect,守る,まもる,pen,ペン,ぺん,watch,見守る,みまもる
3,day,日,ひ,night,夜,よる,early,早い,はやい,late,遅い,おそい
4,eat,跳ぶ,とぶ,talk,歩く,あるく,apple,りんご,りんご,bread,パン,ぱん
5,shine,輝く,かがやく,burn,燃える,もえる,freeze,凍る,こおる,melt,溶ける,とける
6,Monday,月曜日,げつようび,Tuesday,火曜日,かようび,Wednesday,水曜日,すいようび,Thursday,木曜日,もくようび
7,Friday,金曜日,きんようび,Saturday,土曜日,どようび,Sunday,日曜日,にちようび,week,週,しゅう
8,January,1月,いちがつ,February,2月,にがつ,March,3月,さんがつ,April,4月,しがつ
9,May,5月,ごがつ,June,6月,ろくがつ,July,7月,しちがつ,August,8月,はちがつ
10,September,9月,くがつ,October,10月,じゅうがつ,November,11月,じゅういちがつ,December,12月,じゅうにがつ
11,Spring,春,はる,Summer,夏,なつ,Fall,秋,あき,Winter,冬,ふゆ
12,circle,円,えん,square,四角形,しかくけい,triangle,三角形,さんかくけい,rectangle,長方形,ちょうほうけい
13,important,重要,じゅうよう,easy,簡単,かんたん,difficult,難しい,むずかしい,necessary,必要,ひつよう
14,drink,飲む,のむ,listen,学ぶ,まなぶ,table,テーブル,てーぶる,dog,犬,いぬ
15,write,書く,かく,lift,持ち上げる,もちあげる,chair,椅子,いす,cat,猫,ねこ
16,read,遊ぶ,あそぶ,sleep,寝る,ねる,car,食べる,たべる,home,家,いえ
17,build,建てる,たてる,walk,壊す,こわす,teacher,先生,せんせい,family,家族,かぞく
18,play,走る,はしる,drive,歩く,あるく,student,跳ぶ,とぶ,food,食べ物,たべもの
19,laugh,笑う,わらう,cry,泣く,なく,shout,叫ぶ,さけぶ,friend,友達,ともだち
20,jump,掃除する,そうじする,learn,修理する,しゅうりする,buy,買う,かう,sell,売る,うる
21,swim,速い,はやい,teach,遅い,おそい,city,市,し,computer,暗い,くらい
22,strong,強い,つよい,weak,弱い,よわい,school,速い,はやい,happy,幸せ,しあわせ
23,big,大きい,おおきい,small,小さい,ちいさい,long,長い,ながい,short,短い,みじかい
24,imagine,想像する,そうぞうする,plan,計画する,けいかくする,understand,理解する,りかいする,sad,忘れる,わすれる
25,sing,明るい,あかるい,help,助ける,たすける,quiet,静か,しずか,loud,うるさい,うるさい
26,hear,聞く,きく,cook,料理する,りょうりする,see,見る,みる,touch,触る,さわる
,,,,,,,,,,,,
